id,name,tier,tier_order,blurb,location,url
cadenzamusic,Cadenza Music,Topaz (Community Partner),1,,"WRWM+C2 St Paul, Minnesota",https://www.cadenzamusic.com/
platform,Platform,Sapphire (Supporting Partner),1,,"XR6G+JW9 St Paul, Minnesota",https://www.platformmn.com/
idealprinters,Ideal Printers,Topaz (Community Partner),2,,"XW56+CH St Paul, Minnesota",https://www.idealprint.com/
oldnationalbank,Old National Bank,Sapphire (Supporting Partner),2,,"XR2M+C9 St Paul, Minnesota",https://www.oldnational.com/
bewickcafe,Bewick Cafe,Topaz (Community Partner),3,,"XR5V+M5 St Paul, Minnesota",https://www.bewickcafe.com/
wellingtonmanagement,Wellington Management,Sapphire (Supporting Partner),3,,"XRCJ+M8 St Paul, Minnesota",https://wellingtonmgt.com/
creativeenterprisezone,Creative Enterprise Zone,Topaz (Community Partner),4,,"XR66+C3 St Paul, Minnesota",http://www.creativeenterprisezone.org/
capitolregionwatersheddistrict,Capitol Region Watershed District,Topaz (Community Partner),5,,"XR5G+HX St Paul, Minnesota",http://www.capitolregionwd.org/
"amymarga,realtor","Amy Marga, Realtor",Topaz (Community Partner),6,,"WVQC+V2 St Paul, Minnesota",https://amymarga.edinarealty.net/
vanecreativeartistseriesfund,Vane Creative Artist Series Fund,Sapphire (Supporting Partner),4,,"XR8P+26 St Paul, Minnesota",https://www.hamline.edu/Vane
